name;open;high;low;close;volume;marketCap;timestamp
"2781";2423.9253989525;2448.1916302027;2407.7617213909;2437.1094865049;8273074809.28;294203392796.49;"2025-06-28T00:00:00.000Z"
"2781";2437.1148322922;2523.3206528394;2417.6253585354;2500.9600353849;12500580478.82;301867694928.4;"2025-06-29T00:00:00.000Z"
"2781";2500.6053913406;2521.7204588282;2438.0549138166;2486.4643327619;16859727663.03;300156161035.07;"2025-06-30T00:00:00.000Z"
"2781";2486.4284787067;2500.5919034504;2389.8158193747;2405.7928401072;15025451795.54;290429260004.66;"2025-07-01T00:00:00.000Z"
"2781";2405.8575219728;2616.7836199661;2378.3935265069;2571.3354950049;22792512024.56;310339846865.39;"2025-07-02T00:00:00.000Z"
"2781";2570.7965512046;2635.1921204299;2558.5825399841;2591.0072738951;20873559425.27;312759675351.8;"2025-07-03T00:00:00.000Z"
"2781";2590.8456286363;2601.1195462643;2475.7548780196;2508.5182007331;17222740208.98;302770026673.42;"2025-07-04T00:00:00.000Z"
"2781";2508.0959398522;2529.8423612387;2489.0024262082;2517.2800211176;9289382302.08;303878452368.58;"2025-07-05T00:00:00.000Z"
"2781";2517.2800502273;2603.064593334;2505.3708080721;2571.2364783961;13190436110.06;310410971807.55;"2025-07-06T00:00:00.000Z"
"2781";2571.3952554574;2589.3249461783;2517.9035734122;2543.0132490453;18440266946.97;306979770240.64;"2025-07-07T00:00:00.000Z"
"2781";2542.9727446559;2626.6644537649;2525.4377884757;2615.5057588635;17537487205.94;315735197044.02;"2025-07-08T00:00:00.000Z"
"2781";2615.5057588635;2794.5186020188;2591.9469134308;2770.7776343245;27229452848.56;334473818049.21;"2025-07-09T00:00:00.000Z"
"2781";2770.7373013563;2995.1521563718;2757.266597427;2954.8452179122;33929201260.58;356696239886.78;"2025-07-10T00:00:00.000Z"
"2781";2954.8327786052;3038.141150031;2916.9564674111;2957.8861984773;36226558862.52;357117401369.22;"2025-07-11T00:00:00.000Z"
"2781";2958.3337738103;2979.7799321359;2907.193557289;2942.9116629289;16317198253.87;355247159427.4;"2025-07-12T00:00:00.000Z"
"2781";2942.8535792374;3016.3934648688;2938.7365409779;2973.3589886215;17361753131.37;358913143072.06;"2025-07-13T00:00:00.000Z"
"2781";2973.2251481336;3079.9855110516;2965.3237904037;3013.3508592513;36349290556.46;363749649349.02;"2025-07-14T00:00:00.000Z"
"2781";3013.2935772868;3142.4272221797;2934.3712335532;3139.8897178037;39013656111.94;379030219975.84;"2025-07-15T00:00:00.000Z"
"2781";3139.8897178037;3422.6030095746;3102.4778428906;3371.5067228454;46771354460.72;406988666859.61;"2025-07-16T00:00:00.000Z"
"2781";3371.5067228454;3521.6854072605;3315.9989356472;3476.784397665;47532846792.64;419615180093.23;"2025-07-17T00:00:00.000Z"
"2781";3476.1239217243;3674.8552979649;3463.386221079;3549.0162446281;59198465810.11;428403375359.26;"2025-07-18T00:00:00.000Z"
"2781";3548.9259966784;3608.2757297644;3512.9730952921;3595.2736693016;26031719745.61;433988959534.48;"2025-07-19T00:00:00.000Z"
"2781";3595.2404885739;3819.3987823385;3582.3495245631;3759.4714417888;44600451065.6;453746661969.02;"2025-07-20T00:00:00.000Z"
"2781";3758.92057684;3856.7670768934;3705.3538614511;3763.3712526998;42611467662.53;454224062360.47;"2025-07-21T00:00:00.000Z"
"2781";3762.8820998718;3798.1003208867;3624.1404012449;3749.1454360316;45248868820.37;452576146479.47;"2025-07-22T00:00:00.000Z"
"2781";3749.2384563066;3765.026361838;3532.8565628005;3629.703538566;41283228952.7;438149668614.74;"2025-07-23T00:00:00.000Z"
"2781";3629.7315720529;3771.3814799124;3514.9993364041;3708.0057054824;40377960354.44;447597686758.32;"2025-07-24T00:00:00.000Z"
"2781";3708.0057054824;3744.8200042808;3579.962848808;3727.2668943161;42264509576.87;449918713302.14;"2025-07-25T00:00:00.000Z"
"2781";3727.2372445381;3789.7897427136;3702.774166314;3741.3961036678;24635287360.9;451610834911.67;"2025-07-26T00:00:00.000Z"
"2781";3742.2330908031;3866.8889846354;3733.6816438724;3849.2484236554;0;0;"2025-07-27T00:00:00Z"
